,ampds_card,hour,callsign,count,proportion
194,9,21,CC71,1,0.0179
195,9,21,CC72,2,0.0357
196,9,21,H70,26,0.4643
197,9,22,CC70,32,0.4638
198,9,22,CC71,1,0.0145
199,9,22,H70,35,0.5072
200,9,22,H71,1,0.0145
201,9,23,CC70,36,0.5625
202,9,23,CC72,1,0.0156
203,9,23,H70,27,0.4219
204,10,0,H70,2,1.0
205,10,2,CC72,1,1.0
206,10,5,CC70,1,0.5
207,10,5,H71,1,0.5
208,10,6,CC70,1,0.125
209,10,6,H70,5,0.625
210,10,6,H71,2,0.25
211,10,7,CC70,1,0.125
212,10,7,H70,5,0.625
213,10,7,H71,2,0.25
214,10,8,CC70,1,0.0833
215,10,8,CC72,1,0.0833
216,10,8,H70,5,0.4167
217,10,8,H71,5,0.4167
218,10,9,CC71,3,0.1
219,10,9,CC72,1,0.0333
220,10,9,H70,10,0.3333
221,10,9,H71,16,0.5333
222,10,10,CC71,3,0.1034
223,10,10,CC72,1,0.0345
224,10,10,H70,9,0.3103
225,10,10,H71,16,0.5517
226,10,11,CC70,1,0.027
227,10,11,CC71,3,0.0811
228,10,11,CC72,2,0.0541
229,10,11,H70,14,0.3784
230,10,11,H71,17,0.4595
231,10,12,CC71,1,0.0476
232,10,12,CC72,1,0.0476
233,10,12,H70,8,0.381
234,10,12,H71,11,0.5238
235,10,13,CC71,2,0.0909
236,10,13,CC72,1,0.0455
237,10,13,H70,5,0.2273
238,10,13,H71,14,0.6364
239,10,14,CC70,1,0.0435
240,10,14,H70,14,0.6087
241,10,14,H71,8,0.3478
242,10,15,CC70,3,0.1429
243,10,15,CC72,3,0.1429
244,10,15,H70,8,0.381
245,10,15,H71,7,0.3333
246,10,16,CC70,1,0.0556
247,10,16,H70,7,0.3889
248,10,16,H71,10,0.5556
249,10,17,CC70,1,0.0909
250,10,17,H70,7,0.6364
251,10,17,H71,3,0.2727
252,10,18,CC70,1,0.125
253,10,18,H70,7,0.875
254,10,19,H70,8,1.0
255,10,20,H70,6,1.0
256,10,21,CC70,4,0.5
257,10,21,H70,4,0.5
258,10,22,CC70,1,0.5
259,10,22,H70,1,0.5
260,10,23,H70,3,1.0
261,12,0,CC70,3,0.4286
262,12,0,H70,4,0.5714
263,12,1,CC70,3,0.75
264,12,1,H70,1,0.25
265,12,6,CC70,1,0.5
266,12,6,H70,1,0.5
267,12,7,CC70,4,0.3077
268,12,7,CC71,1,0.0769
269,12,7,H70,7,0.5385
270,12,7,H71,1,0.0769
271,12,8,CC70,8,0.2963
272,12,8,CC71,1,0.037
273,12,8,CC72,3,0.1111
274,12,8,H70,11,0.4074
275,12,8,H71,4,0.1481
276,12,9,CC70,3,0.1034
277,12,9,CC71,4,0.1379
278,12,9,CC72,3,0.1034
279,12,9,H70,16,0.5517
280,12,9,H71,3,0.1034
281,12,10,CC70,4,0.0769
282,12,10,CC71,6,0.1154
283,12,10,CC72,12,0.2308
284,12,10,H70,25,0.4808
285,12,10,H71,5,0.0962
286,12,11,CC70,7,0.1489
287,12,11,CC71,5,0.1064
288,12,11,CC72,8,0.1702
289,12,11,H70,17,0.3617
290,12,11,H71,10,0.2128
291,12,12,CC70,5,0.0926
292,12,12,CC71,2,0.037
293,12,12,CC72,10,0.1852
294,12,12,H70,26,0.4815
295,12,12,H71,11,0.2037
296,12,13,CC70,1,0.0312
297,12,13,CC71,3,0.0938
298,12,13,CC72,7,0.2188
299,12,13,H70,13,0.4062
300,12,13,H71,8,0.25
301,12,14,CC70,5,0.1064
302,12,14,CC71,4,0.0851
303,12,14,CC72,6,0.1277
304,12,14,H70,23,0.4894
305,12,14,H71,9,0.1915
306,12,15,CC70,3,0.0769
307,12,15,CC71,4,0.1026
308,12,15,CC72,3,0.0769
309,12,15,H70,14,0.359
310,12,15,H71,15,0.3846
311,12,16,CC70,11,0.3667
312,12,16,CC72,4,0.1333
313,12,16,H70,12,0.4
314,12,16,H71,3,0.1
315,12,17,CC70,8,0.2759
316,12,17,CC71,2,0.069
317,12,17,H70,15,0.5172
318,12,17,H71,4,0.1379
319,12,18,CC70,5,0.1724
320,12,18,CC72,3,0.1034
321,12,18,H70,20,0.6897
322,12,18,H71,1,0.0345
323,12,19,CC70,3,0.1364
324,12,19,H70,18,0.8182
325,12,19,H71,1,0.0455
326,12,20,CC70,2,0.1333
327,12,20,H70,13,0.8667
328,12,21,CC70,7,0.4667
329,12,21,H70,8,0.5333
330,12,22,CC70,7,0.5
331,12,22,CC72,2,0.1429
332,12,22,H70,5,0.3571
333,12,23,CC70,5,0.5556
334,12,23,H70,4,0.4444
335,14,7,CC70,1,0.25
336,14,7,CC72,1,0.25
337,14,7,H70,2,0.5
338,14,8,H70,5,1.0
339,14,9,CC71,1,0.25
340,14,9,H70,3,0.75
341,14,10,CC70,1,0.0588
342,14,10,CC71,1,0.0588
343,14,10,CC72,3,0.1765
344,14,10,H70,6,0.3529
345,14,10,H71,6,0.3529
346,14,11,CC72,1,0.125
347,14,11,H70,6,0.75
348,14,11,H71,1,0.125
349,14,12,CC71,3,0.1667
350,14,12,CC72,3,0.1667
351,14,12,H70,8,0.4444
352,14,12,H71,4,0.2222
353,14,13,CC70,1,0.0833
354,14,13,CC71,2,0.1667
355,14,13,CC72,1,0.0833
356,14,13,H70,3,0.25
357,14,13,H71,5,0.4167
358,14,14,H70,6,0.5455
359,14,14,H71,5,0.4545
360,14,15,H70,6,0.6
361,14,15,H71,4,0.4
362,14,16,H70,7,0.5
363,14,16,H71,7,0.5
364,14,17,CC70,3,0.25
365,14,17,H70,6,0.5
366,14,17,H71,3,0.25
367,14,18,CC70,3,0.2
368,14,18,H70,12,0.8
